,Text,Label
0,Security,O
1,researchers,O
2,from,O
3,Kaspersky,O
4,Lab,O
5,have,O
6,uncovered,O
7,a,O
8,new,O
9,cyber,O
10,-,O
11,espionage,O
12,APT,O
13,group,O
14,tracked,O
15,ZooPark,B-Actor
16,that,O
17,targeted,O
18,entities,O
19,in,O
20,the,O
21,Middle,B-Target
22,East,I-Target
23,during,O
24,the,O
25,past,O
26,three,O
27,years,O
28,.,O
29,ZooPark,B-Actor
30,APT,O
31,has,O
32,been,O
33,active,O
34,at,O
35,least,O
36,since,O
37,2015,O
38,and,O
39,has,O
40,shown,O
41,a,O
42,growing,O
43,level,O
44,of,O
45,sophistication,O
46,across,O
47,the,O
48,years,O
49,.,O
50,“,O
51,ZooPark,B-Actor
52,is,O
53,a,O
54,cyberespionage,O
55,operation,O
56,that,O
57,has,O
58,been,O
59,focusing,O
60,on,O
61,Middle,B-Target
62,Eastern,I-Target
63,targets,O
64,since,O
65,at,O
66,least,O
67,June,O
68,2015,O
69,.,O
70,The,O
71,threat,O
72,actors,O
73,behind,O
74,ZooPark,B-Actor
75,infect,O
76,Android,O
77,devices,O
78,using,O
79,several,O
80,generations,O
81,of,O
82,malware,O
83,we,O
84,label,O
85,from,O
86,v1,O
87,-,O
88,v4,O
89,",",O
90,with,O
91,v4,O
92,being,O
93,the,O
94,most,O
95,recent,O
96,version,O
97,deployed,O
98,in,O
99,2017,O
100,.”,O
101,reads,O
102,the,O
103,report,O
104,published,O
105,by,O
106,Kaspersky,O
107,Hackers,O
108,mainly,O
109,used,O
110,waterhole,O
111,attacks,O
112,as,O
113,infection,O
114,vector,O
115,",",O
116,the,O
117,experts,O
118,discovered,O
119,several,O
120,news,O
121,websites,O
122,that,O
123,have,O
124,been,O
125,compromised,O
126,to,O
127,redirect,O
128,visitors,O
129,to,O
130,a,O
131,downloading,O
132,site,O
133,that,O
134,delivered,O
135,the,O
136,final,O
137,malware,O
138,.,O
139,Most,O
140,of,O
141,the,O
142,victims,O
143,were,O
144,located,O
145,in,O
146,Egypt,O
147,",",O
148,Jordan,O
149,",",O
150,Morocco,O
151,",",O
152,Lebanon,O
153,",",O
154,and,O
155,Iran,O
156,.,O
157,“,O
158,Some,O
159,of,O
160,the,O
161,malicious,O
162,ZooPark,B-Actor
163,apps,O
164,are,O
165,being,O
166,distributed,O
167,from,O
168,news,O
169,and,O
170,political,O
171,websites,O
172,popular,O
173,in,O
174,specific,O
175,parts,O
176,of,O
177,the,O
178,Middle,O
179,East,O
180,.,O
181,They,O
182,are,O
183,disguised,O
184,as,O
185,legitimate,O
186,apps,O
187,with,O
188,names,O
189,like,O
190,‘,O
191,TelegramGroups,O
192,’,O
193,and,O
194,‘,O
195,Alnaharegypt,O
196,news,O
197,"’,",O
198,among,O
199,others,O
200,",",O
201,recognized,O
202,in,O
203,and,O
204,relevant,O
205,to,O
206,some,O
207,Middle,O
208,Eastern,O
209,countries,O
210,”,O
211,reads,O
212,the,O
213,press,O
214,release,O
215,published,O
216,by,O
217,Kaspersky,O
218,.,O
219,Experts,O
220,identified,O
221,4,O
222,different,O
223,phases,O
224,in,O
225,the,O
226,activity,O
227,of,O
228,the,O
229,group,O
230,:,O
231,2015,O
232,–,O
233,pretty,O
234,simple,O
235,malware,O
236,ZooPark,B-Actor
237,hackers,O
238,distributed,O
239,a,O
240,very,O
241,simple,O
242,variant,O
243,of,O
244,the,O
245,Android,O
246,malware,O
247,that,O
248,was,O
249,only,O
250,able,O
251,to,O
252,steal,O
253,accounts,O
254,details,O
255,registered,O
256,on,O
257,the,O
258,victim,O
259,device,O
260,and,O
261,contacts,O
262,from,O
263,the,O
264,address,O
265,book,O
266,.,O
267,The,O
268,malicious,O
269,app,O
270,was,O
271,disguised,O
272,as,O
273,the,O
274,official,O
275,Telegram,O
276,application,O
277,.,O
278,2016,O
279,–,O
280,lightweight,O
281,spyware,O
282,ZooPark,B-Actor
283,implemented,O
284,new,O
285,features,O
286,for,O
287,its,O
288,malware,O
289,focused,O
290,on,O
291,cyber,O
292,espionage,O
293,.,O
294,“,O
295,This,O
296,new,O
297,version,O
298,is,O
299,similar,O
300,to,O
301,the,O
302,previous,O
303,.,O
304,The,O
305,main,O
306,difference,O
307,is,O
308,the,O
309,inclusion,O
310,of,O
311,new,O
312,spying,O
313,features,O
314,such,O
315,as,O
316,exfiltrate,O
317,GPS,O
318,location,O
319,",",O
320,SMS,O
321,messages,O
322,",",O
323,call,O
324,logs,O
325,and,O
326,some,O
327,extra,O
328,general,O
329,information,O
330,”,O
331,continues,O
332,the,O
333,report,O
334,.,O
335,2016,O
336,–,O
337,commercial,O
338,fork,O
339,The,O
340,APT,O
341,fork,O
342,a,O
343,version,O
344,of,O
345,the,O
346,Spymaster,B-Malware
347,Pro,I-Malware
348,commercial,O
349,spyware,O
350,app,O
351,",",O
352,experts,O
353,noticed,O
354,several,O
355,similarities,O
356,between,O
357,the,O
358,commercial,O
359,malware,O
360,and,O
361,the,O
362,APT,O
363,Android,O
364,malware,O
365,.,O
366,The,O
367,main,O
368,difference,O
369,is,O
370,the,O
371,usage,O
372,of,O
373,their,O
374,own,O
375,C,O
376,&,O
377,C,O
378,server,O
379,.,O
380,2017,O
381,–,O
382,modern,O
383,spyware,O
384,ZooPark,B-Actor
385,developers,O
386,dropped,O
387,the,O
388,2016,O
389,version,O
390,resulting,O
391,from,O
392,the,O
393,commercial,O
394,fork,O
395,and,O
396,added,O
397,major,O
398,changes,O
399,and,O
400,improvements,O
401,to,O
402,the,O
403,2016,O
404,lightweight,O
405,spyware,O
406,.,O
407,“,O
408,This,O
409,malware,O
410,variant,O
411,represents,O
412,a,O
413,significant,O
414,improvement,O
415,on,O
416,version,O
417,2,O
418,.,O
419,0,O
420,",",O
421,which,O
422,seems,O
423,to,O
424,indicate,O
425,that,O
426,version,O
427,3,O
428,.,O
429,0,O
430,was,O
431,some,O
432,kind,O
433,of,O
434,fork,O
435,.”,O
436,added,O
437,Kaspersky,O
438,.,O
439,“,O
440,This,O
441,last,O
442,step,O
443,is,O
444,especially,O
445,interesting,O
446,",",O
447,showing,O
448,a,O
449,big,O
450,leap,O
451,from,O
452,straightforward,O
453,code,O
454,functionality,O
455,to,O
456,highly,O
457,sophisticated,O
458,malware,O
459,",”",O
460,Kaspersky,O
461,speculates,O
462,the,O
463,latest,O
464,version,O
465,was,O
466,improved,O
467,with,O
468,the,O
469,code,O
470,bought,O
471,from,O
472,firms,O
473,offering,O
474,surveillance,O
475,software,O
476,.,O
477,“,O
478,This,O
479,suggests,O
480,the,O
481,latest,O
482,version,O
483,may,O
484,have,O
485,been,O
486,bought,O
487,from,O
488,vendors,O
489,of,O
490,specialist,O
