,Text,Label
0,A,O
1,group,O
2,of,O
3,hackers,O
4,tracked,O
5,as,O
6,ViperRAT,B-Actor
7,is,O
8,spying,O
9,on,O
10,the,O
11,Israeli,B-Target
12,military,I-Target
13,by,O
14,hacking,O
15,into,O
16,the,O
17,soldiers,O
18,’,O
19,personal,O
20,Android,O
21,mobile,O
22,devices,O
23,.,O
24,A,O
25,group,O
26,of,O
27,hackers,O
28,",",O
29,tracked,O
30,as,O
31,ViperRAT,B-Actor
32,",",O
33,is,O
34,spying,O
35,on,O
36,the,O
37,Israeli,B-Target
38,military,I-Target
39,by,O
40,hacking,O
41,into,O
42,the,O
43,soldiers,O
44,’,O
45,personal,O
46,Android,O
47,mobile,O
48,devices,O
49,to,O
50,track,O
51,their,O
52,activities,O
53,and,O
54,steal,O
55,sensitive,O
56,data,O
57,.,O
58,Experts,O
59,from,O
60,security,O
61,firms,O
62,Lookout,O
63,and,O
64,Kaspersky,O
65,have,O
66,discovered,O
67,that,O
68,at,O
69,least,O
70,100,O
71,Israeli,O
72,servicemen,O
73,from,O
74,the,O
75,Israeli,B-Target
76,Defense,I-Target
77,Force,I-Target
78,(,O
79,IDF,O
80,),O
81,were,O
82,targeted,O
83,by,O
84,cyber,O
85,spies,O
86,with,O
87,a,O
88,malware,O
89,dubbed,O
90,ViperRAT,B-Malware
91,.,O
92,“,O
93,The,O
94,Lookout,O
95,research,O
96,team,O
97,was,O
98,able,O
99,to,O
100,gain,O
101,unique,O
102,visibility,O
103,into,O
104,the,O
105,ViperRAT,B-Malware
106,malware,O
107,",",O
108,including,O
109,11,O
110,new,O
111,",",O
112,unreported,O
113,applications,O
114,.,O
115,We,O
116,also,O
117,discovered,O
118,and,O
119,analyzed,O
120,live,O
121,",",O
122,misconfigured,O
123,malicious,O
124,command,O
125,and,O
126,control,O
127,servers,O
128,(,O
129,C2,O
130,"),",O
131,from,O
132,which,O
133,we,O
134,were,O
135,able,O
136,to,O
137,identify,O
138,how,O
139,the,O
140,attacker,O
141,gets,O
142,new,O
143,",",O
144,infected,O
145,apps,O
146,to,O
147,secretly,O
148,install,O
149,and,O
150,the,O
151,types,O
152,of,O
153,activities,O
154,they,O
155,are,O
156,monitoring,O
157,.”,O
158,reads,O
159,the,O
160,analysis,O
161,published,O
162,by,O
163,Lookout,O
164,.,O
165,“,O
166,In,O
167,addition,O
168,",",O
169,we,O
170,uncovered,O
171,the,O
172,IMEIs,O
173,of,O
174,the,O
175,targeted,O
176,individuals,O
177,(,O
178,IMEIs,O
179,will,O
180,not,O
181,be,O
182,shared,O
183,publicly,O
184,for,O
185,the,O
186,privacy,O
187,and,O
188,safety,O
189,of,O
190,the,O
191,victims,O
192,),O
193,as,O
194,well,O
195,as,O
196,the,O
197,types,O
198,of,O
199,exfiltrated,O
200,content,O
201,.”,O
202,According,O
203,to,O
204,the,O
205,security,O
206,experts,O
207,",",O
208,the,O
209,IDF,O
210,personnel,O
211,had,O
212,been,O
213,targeted,O
214,with,O
215,social,O
216,engineering,O
217,attacks,O
218,.,O
219,The,O
220,IDF,O
221,soldiers,O
222,were,O
223,devised,O
224,by,O
225,attackers,O
226,via,O
227,Facebook,O
228,Messenger,O
229,and,O
230,other,O
231,social,O
232,networks,O
233,.,O
234,The,O
235,cyber,O
236,spies,O
237,posed,O
238,as,O
239,attractive,O
240,women,O
241,from,O
242,various,O
243,countries,O
244,like,O
245,Canada,O
246,",",O
247,Germany,O
248,",",O
249,and,O
250,Switzerland,O
251,.,O
252,“,O
253,The,O
254,threat,O
255,actor,O
256,uses,O
257,social,O
258,engineering,O
259,to,O
260,lure,O
261,targets,O
262,into,O
263,installing,O
264,a,O
265,malicious,O
266,application,O
267,",",O
268,while,O
269,continuously,O
270,attempting,O
271,to,O
272,acquire,O
273,confidential,O
274,information,O
275,using,O
276,social,O
277,networks,O
278,.,O
279,We,O
280,’,O
281,ve,O
282,seen,O
283,a,O
284,lot,O
285,of,O
286,the,O
287,group,O
288,’,O
289,s,O
290,activity,O
291,on,O
292,Facebook,O
293,Messenger,O
294,.,O
295,Most,O
296,of,O
297,the,O
298,avatars,O
299,(,O
300,virtual,O
301,participants,O
302,in,O
303,the,O
304,social,O
305,engineering,O
306,stage,O
307,),O
308,lure,O
309,the,O
310,victims,O
311,using,O
312,sexual,O
313,innuendo,O
314,",",O
315,e,O
316,.,O
317,g,O
318,.,O
319,asking,O
320,the,O
321,victim,O
322,to,O
323,send,O
324,explicit,O
325,photos,O
326,",",O
327,and,O
328,in,O
329,return,O
330,sending,O
331,fake,O
332,photos,O
333,of,O
334,teenage,O
335,girls,O
336,.”,O
337,reads,O
338,the,O
339,analysis,O
340,shared,O
341,by,O
342,Kaspersky,O
343,Lab,O
344,.,O
345,The,O
346,IDF,O
347,soldiers,O
348,were,O
349,tricked,O
350,into,O
351,installing,O
352,a,O
353,trojanized,O
354,version,O
355,of,O
356,two,O
357,legitimate,O
358,Android,O
359,chat,O
360,apps,O
361,",",O
362,SR,O
363,Chat,O
364,and,O
365,YeeCall,O
366,Pro,O
367,.,O
368,The,O
369,experts,O
370,also,O
371,uncovered,O
372,versions,O
373,of,O
374,a,O
375,billiards,O
376,game,O
377,",",O
378,an,O
379,Israeli,O
380,Love,O
381,Songs,O
382,player,O
383,",",O
384,and,O
385,a,O
386,Move,O
387,To,O
388,iOS,O
389,app,O
390,packaged,O
391,with,O
392,the,O
393,ViperRAT,B-Malware
394,spyware,O
395,.,O
396,“,O
397,The,O
398,first,O
399,variant,O
400,is,O
401,a,O
402,“,O
403,first,O
404,stage,O
405,application,O
406,",”",O
407,that,O
408,performs,O
409,basic,O
410,profiling,O
411,of,O
412,a,O
413,device,O
414,",",O
415,and,O
416,under,O
417,certain,O
418,conditions,O
419,attempts,O
420,to,O
421,download,O
422,and,O
423,install,O
424,a,O
425,much,O
426,more,O
427,comprehensive,O
428,surveillanceware,O
429,component,O
430,",",O
431,which,O
432,is,O
433,the,O
434,second,O
435,variant,O
436,.”,O
437,states,O
438,LookOut,O
439,.,O
440,The,O
441,ViperRAT,B-Malware
442,was,O
443,able,O
444,to,O
445,gather,O
446,information,O
447,from,O
448,the,O
449,personal,O
450,mobile,O
451,devices,O
452,of,O
453,the,O
454,IDF,O
455,soldiers,O
456,and,O
457,downloaded,O
458,another,O
459,malicious,O
460,application,O
461,that,O
462,masqueraded,O
463,as,O
464,an,O
465,update,O
466,for,O
467,one,O
468,of,O
469,the,O
470,apps,O
471,already,O
472,installed,O
473,on,O
474,the,O
475,device,O
476,",",O
477,such,O
478,as,O
479,WhatsApp,O
480,.,O
481,The,O
482,ViperRAT,B-Malware
483,spyware,O
484,is,O
485,very,O
486,sophisticated,O
487,",",O
488,the,O
489,malware,O
490,researchers,O
491,discovered,O
492,two,O
493,distinct,O
494,variants,O
495,of,O
496,spyware,O
497,.,O
498,The,O
499,first,O
500,variant,O
501,is,O
502,a,O
503,“,O
504,first,O
505,stage,O
506,application,O
507,",”",O
508,that,O
509,performs,O
510,basic,O
511,profiling,O
512,of,O
513,a,O
514,device,O
515,",",O
516,and,O
517,under,O
518,certain,O
519,conditions,O
520,attempts,O
521,to,O
522,download,O
523,and,O
524,install,O
525,a,O
526,much,O
527,more,O
528,comprehensive,O
529,According,O
530,to,O
531,the,O
532,experts,O
533,",",O
534,ViperRAT,B-Actor
535,threat,O
536,actors,O
537,were,O
538,particularly,O
539,interested,O
540,in,O
541,stealing,O
542,image,O
543,files,O
544,from,O
545,compromised,O
546,devices,O
547,.,O
548,The,O
549,researchers,O
550,at,O
551,Lookout,O
