,Text,Label
0,Researchers,O
1,from,O
2,the,O
3,Unit42,O
4,at,O
5,Palo,O
6,Alto,O
7,Networks,O
8,observed,O
9,Iran,O
10,-,O
11,Linked,O
12,OilRig,B-Actor
13,APT,O
14,group,O
15,targeting,O
16,high,B-Target
17,-,I-Target
18,ranking,I-Target
19,office,I-Target
20,in,O
21,a,O
22,Middle,O
23,Eastern,O
24,nation,O
25,The,O
26,Iran,O
27,-,O
28,linked,O
29,APT,O
30,group,O
31,OilRig,B-Actor
32,continues,O
33,to,O
34,very,O
35,active,O
36,",",O
37,it,O
38,continues,O
39,to,O
40,improve,O
41,the,O
42,weapons,O
43,in,O
44,its,O
45,arsenal,O
46,.,O
47,The,O
48,OilRig,B-Actor
49,hacker,O
50,group,O
51,has,O
52,been,O
53,around,O
54,since,O
55,at,O
56,least,O
57,2015,O
58,",",O
59,since,O
60,then,O
61,it,O
62,targeted,O
63,mainly,O
64,organizations,O
65,in,O
66,the,O
67,financial,B-Target
68,and,O
69,government,B-Target
70,sectors,O
71,",",O
72,in,O
73,the,O
74,United,O
75,States,O
76,and,O
77,Middle,O
78,Eastern,O
79,countries,O
80,.,O
81,The,O
82,OilRig,B-Actor
83,APT,O
84,group,O
85,was,O
86,recently,O
87,observed,O
88,using,O
89,a,O
90,new,O
91,variant,O
92,of,O
93,the,O
94,OopsIE,B-Malware
95,Trojan,O
96,that,O
97,implements,O
98,news,O
99,evasion,O
100,capabilities,O
101,.,O
102,Now,O
103,researchers,O
104,from,O
105,Palo,O
106,Alto,O
107,Networks,O
108,’,O
109,s,O
110,Unit,O
111,42,O
112,have,O
113,uncovered,O
114,a,O
115,new,O
116,campaign,O
117,attributed,O
118,to,O
119,the,O
120,group,O
121,that,O
122,targeted,O
123,members,B-Target
124,of,I-Target
125,an,I-Target
126,undisclosed,I-Target
127,government,I-Target
128,in,O
129,the,O
130,Middle,O
131,East,O
132,with,O
133,an,O
134,evolved,O
135,variant,O
136,of,O
137,the,O
138,BondUpdater,B-Malware
139,trojan,O
140,.,O
141,In,O
142,mid,O
143,-,O
144,August,O
145,",",O
146,the,O
147,state,O
148,-,O
149,sponsored,O
150,hackers,O
151,launched,O
152,a,O
153,highly,O
154,targeted,O
155,spear,O
156,-,O
157,phishing,O
158,email,O
159,to,O
160,a,O
161,high,B-Target
162,-,I-Target
163,ranking,I-Target
164,office,I-Target
165,in,O
166,a,O
167,Middle,O
168,Eastern,O
169,nation,O
170,.,O
171,“,O
172,In,O
173,August,O
174,2018,O
175,",",O
176,Unit,O
177,42,O
178,observed,O
179,OilRig,B-Actor
180,targeting,O
181,a,O
182,government,B-Target
183,organization,I-Target
184,using,O
185,spear,O
186,-,O
187,phishing,O
188,emails,O
189,to,O
190,deliver,O
191,an,O
192,updated,O
193,version,O
194,of,O
195,a,O
196,Trojan,O
197,known,O
198,as,O
199,BONDUPDATER,B-Malware
200,.,O
201,BONDUPDATER,B-Malware
202,is,O
203,a,O
204,PowerShell,O
205,-,O
206,based,O
207,Trojan,O
208,first,O
209,discovered,O
210,by,O
211,FireEye,O
212,in,O
213,mid,O
214,-,O
215,November,O
216,2017,O
217,",",O
218,when,O
219,OilRig,B-Actor
220,targeted,O
221,a,O
222,different,O
223,Middle,O
224,Eastern,O
225,governmental,O
226,organization,O
227,.”,O
228,reads,O
229,the,O
230,analysis,O
231,published,O
232,by,O
233,Palo,O
234,Alto,O
235,Networks,O
236,.,O
237,“,O
238,The,O
239,spear,O
240,-,O
241,phishing,O
242,email,O
243,had,O
244,an,O
245,attached,O
246,Microsoft,O
247,Word,O
248,document,O
249,that,O
250,contained,O
251,a,O
252,macro,O
253,responsible,O
254,for,O
255,installing,O
256,a,O
257,new,O
258,variant,O
259,of,O
260,BONDUPDATER,B-Malware
261,.”,O
262,The,O
263,hackers,O
264,used,O
265,spear,O
266,-,O
267,phishing,O
268,emails,O
269,to,O
270,deliver,O
271,an,O
272,updated,O
273,version,O
274,of,O
275,the,O
276,PowerShell,O
277,-,O
278,based,O
279,BondUpdater,B-Malware
280,Trojan,O
281,.,O
282,The,O
283,BONDUPDATER,B-Malware
284,Trojan,O
285,supports,O
286,implements,O
287,common,O
288,backdoor,O
289,features,O
290,such,O
291,as,O
292,uploading,O
293,and,O
294,downloading,O
295,files,O
296,",",O
297,as,O
298,well,O
299,as,O
300,executing,O
301,commands,O
302,on,O
303,the,O
304,infected,O
305,system,O
306,.,O
307,“,O
308,The,O
309,BondUpdater,B-Malware
310,trojan,O
311,contains,O
312,basic,O
313,backdoor,O
314,functionality,O
315,",",O
316,allowing,O
317,threat,O
318,actors,O
319,to,O
320,upload,O
321,and,O
322,download,O
323,files,O
324,",",O
325,as,O
326,well,O
327,as,O
328,the,O
329,ability,O
330,to,O
331,execute,O
332,commands,O
333,",”",O
334,continues,O
335,the,O
336,analysis,O
337,published,O
338,by,O
339,Palo,O
340,alto,O
341,Networks,O
342,.,O
343,“,O
344,BONDUPDATER,B-Malware
345,",",O
346,like,O
347,other,O
348,OilRig,B-Actor
349,tools,O
350,",",O
351,uses,O
352,DNS,O
353,tunneling,O
354,to,O
355,communicate,O
356,with,O
357,its,O
358,C2,O
359,server,O
360,.,O
361,During,O
362,the,O
363,past,O
364,month,O
365,",",O
366,Unit,O
