,Text,Label
0,According,O
1,to,O
2,FireEye,O
3,",",O
4,the,O
5,notorious,O
6,Russia,O
7,-,O
8,linked,O
9,APT28,B-Actor
10,group,O
11,is,O
12,behind,O
13,an,O
14,ongoing,O
15,campaign,O
16,targeting,O
17,hotels,B-Target
18,in,O
19,several,O
20,European,O
21,countries,O
22,.,O
23,According,O
24,to,O
25,FireEye,O
26,",",O
27,the,O
28,notorious,O
29,Russia,O
30,-,O
31,linked,O
32,APT28,B-Actor
33,group,O
34,(,O
35,Pawn,B-Actor
36,Storm,I-Actor
37,",",O
38,Fancy,B-Actor
39,Bear,I-Actor
40,",",O
41,Sofacy,B-Actor
42,",",O
43,Sednit,B-Actor
44,and,O
45,Strontium,B-Actor
46,),O
47,is,O
48,behind,O
49,an,O
50,ongoing,O
51,campaign,O
52,targeting,O
53,hotels,B-Target
54,in,O
55,several,O
56,European,O
57,countries,O
58,.,O
59,The,O
60,researchers,O
61,observed,O
62,many,O
63,attacks,O
64,targeting,O
65,the,O
66,networks,O
67,of,O
68,hotels,O
69,to,O
70,gain,O
71,access,O
72,the,O
73,devices,O
74,of,O
75,government,O
76,and,O
77,business,O
78,travelers,O
79,via,O
80,the,O
81,guest,O
82,Wi,O
83,-,O
84,Fi,O
85,.,O
86,The,O
87,hackers,O
88,targeted,O
89,several,O
90,companies,O
91,in,O
92,the,O
93,hospitality,B-Target
94,sector,O
95,",",O
96,including,O
97,hotels,O
98,in,O
99,seven,O
100,European,O
101,countries,O
102,and,O
103,at,O
104,least,O
105,one,O
106,in,O
107,the,O
108,Middle,O
109,Eastern,O
110,country,O
111,.,O
112,The,O
113,attack,O
114,chain,O
115,starts,O
116,with,O
117,a,O
118,spear,O
119,phishing,O
120,email,O
121,sent,O
122,to,O
123,a,O
124,hotel,O
125,employee,O
126,",",O
127,the,O
128,messages,O
129,use,O
130,weaponized,O
131,document,O
132,named,O
133,“,O
134,Hotel_Reservation_Form,O
135,.,O
136,doc,O
137,.”,O
138,The,O
139,embedded,O
140,macros,O
141,decode,O
142,a,O
143,dropper,O
144,that,O
145,delivers,O
146,the,O
147,GameFish,B-Malware
148,malware,O
149,.,O
150,Experts,O
151,noticed,O
152,that,O
153,the,O
154,backdoor,O
155,is,O
156,the,O
157,same,O
158,used,O
159,by,O
160,the,O
161,APT28,B-Actor
162,in,O
163,a,O
164,recent,O
165,campaign,O
166,that,O
167,targeted,O
168,Montenegro,B-Target
169,after,O
170,the,O
171,state,O
172,officially,O
173,joined,O
174,NATO,O
175,alliance,O
176,despite,O
177,the,O
178,strong,O
179,opposition,O
180,from,O
181,Russian,O
182,Government,O
183,that,O
184,threatened,O
185,to,O
186,retaliate,O
187,.,O
188,Once,O
189,the,O
190,hackers,O
191,accessed,O
192,the,O
193,target,O
194,network,O
195,",",O
196,they,O
197,used,O
198,the,O
199,NSA,O
200,-,O
201,linked,O
202,EternalBlue,O
203,SMB,O
204,exploit,O
205,for,O
206,lateral,O
207,movements,O
208,.,O
209,According,O
210,to,O
211,the,O
212,malware,O
213,researchers,O
214,at,O
215,FireEye,O
216,",",O
217,this,O
218,is,O
219,the,O
220,first,O
221,time,O
222,APT28,B-Actor
223,hackers,O
224,had,O
225,used,O
226,this,O
227,NSA,O
228,exploit,O
229,.,O
230,“,O
231,APT28,B-Actor
232,is,O
233,using,O
234,novel,O
235,techniques,O
236,involving,O
237,the,O
238,EternalBlue,O
239,exploit,O
240,and,O
241,the,O
242,open,O
243,source,O
244,tool,O
245,Responder,B-Malware
246,to,O
247,spread,O
248,laterally,O
249,through,O
250,networks,O
251,and,O
252,likely,O
253,target,O
254,travelers,O
255,.,O
